;categories;Count;category_main
684;Boissons végétales de soja nature;1;Aliments et boissons à base de végétaux
685; fr:cordons-bleus-de-poulet;1;Viandes et charcuteries, Plats préparés
686;Miels de citronnier;1;Miels
687; strawberry-biscuits;1;Biscuits et gateaux
688; fermented-milk-products;1;Produits laitiers
689;Lardons;1;Viandes et charcuteries
690;Gaspacho;1;Plats préparés
691;Magrets de canard;1;Viandes et charcuteries
692;Salty snacks;1;Biscuits et gateaux
693;Confitures;1;Pâtes à tartiner
694; durum-wheats;1;Pains et céréales
695; Boulangerie;1;Pains et céréales
696;Mimolettes-vieilles;1;Produits laitiers
697;Kartoffelchips;1;Pommes de terre
698;Coulis de tomates;1;Sauces
699;Crêpe au chocolat;1;
700;Coeurs d'artichauts;1;Légumes
701;Biscuits and cakes;1;Biscuits et gateaux
702; seafood;1;Produits de la mer
703; mackerels-fillets;1;Produits de la mer
704;Plats à base de poisson;1;Produits de la mer
705; fishes;1;Produits de la mer
706;Chips de manioc à la crevette;1;
707;Légumes bio;1;Légumes
708;Mueslis aux fruits;1;
709;Fromages au lait de bufflonne;1;Produits laitiers
710;Purées de légumes;1;Nourriture pour bébé
711;Parmigiano-Reggiano;1;Produits laitiers
712;Beurres demi-sel;1;Produits laitiers
713;Fromage Frais maigre;1;Produits laitiers
714;Goat cheeses;1;Produits laitiers
715;Thé à la menthe;1;Thés et infusions
716;Desserts de soja à la vanille;1;Aliments et boissons à base de végétaux
717;Fromage à pâte dure;1;Produits laitiers
718; beef-steaks;1;Viandes et charcuteries
719; meat-based-products;1;Viandes et charcuteries
720;Huiles d'olive vierges extra;1;Huiles
721;Méta-catégorie;1;
722;Knacks industrielles;1;
723;Pâtes à tartiner au chocolat;1;Pâtes à tartiner
724;Pomme de terre;1;Pommes de terre
725;Vins rosés;1;Boissons alcoolisées
726; french-cheeses;1;Produits laitiers
727;Légumineuses en conserve;1;Légumineuses
728;fr:Mueslis croustillants;1;
729;Légumes préparés;1;Légumes
730;shelled-nuts;1;Fruits à coque
731; pasteurized-cheeses;1;Produits laitiers
732;Fruits;1;Fruits
733;Saucisses de Strasbourg;1;Viandes et charcuteries
734;Tofu;1;Aliments et boissons à base de végétaux
735;Soupes réfrigérées;1;Plats préparés
736;Früchte;1;Fruits
737;Miels italiens;1;Miels
738; tomato-sauces;1;Sauces
739;Pickled gherkins;1;
740;Jus de carotte;1;Jus de fruits
741;Bebidas alcohólicas;1;
742;Yaourts brassés nature;1;Produits laitiers
743; chicken-ham;1;Viandes et charcuteries
744; cow-cheeses;1;Produits laitiers
745;Boissons lactées;1;Produits laitiers
746;Crevettes cuites;1;Produits de la mer
747; mixed-puffed-cereals;1;Pains et céréales
748;Confiseries;1;Biscuits et gateaux
749;Käse;1;Produits laitiers
750;Essige;1;
751;fr:nusse;1;Fruits à coque
752;Filets de perche;1;Produits de la mer
753;fr:mandeln;1;Fruits à coque
754;Noix décortiquées;1;Fruits à coque
755;Bolognese-Soße;1;Sauces
756;Poissons et viandes et oeufs;1;
757;Cereal butters;1;Pâtes à tartiner
758; carbonated-waters;1;Eau
759;Sauces tomates au basilic;1;Sauces
760;alcoholic-beverages;1;Boissons alcoolisées
761;Cream cheeses;1;Produits laitiers
762;Pates-seches;1;Pâtes alimentaires
763;Breakfast cereals;1;Pains et céréales
764; pestos;1;Sauces
765; fr:Blés durs précuits;1;Pains et céréales
766;Nudelsoßen;1;Sauces
767;Kokosmilch;1;Aliments et boissons à base de végétaux
768;nuts-and-their-products;1;Fruits à coque
769;Lait partiellement écrémé;1;Produits laitiers
770; mackerel-fillets-in-mustard-sauce;1;Produits de la mer
771;Canned Vegetables;1;Conserves, Légumes
772;Saucisses;1;Viandes et charcuteries
773;Tomatensaucen;1;Sauces
774;Terrines de Saint-Jacques;1;Produits de la mer, Plats préparés
775;Pouding;1;
776;Instant noodle soups;1;Plats préparés
777;Pignons de pin décortiqués;1;Fruits à coque
778;Cooked pressed cheeses;1;Produits laitiers
779;Brote;1;Pains et céréales
780;pâtes séche;1;Pâtes alimentaires
781;Pays d'Oc;1;
782;biscuits;1;Biscuits et gateaux
783;Epices;1;Condiments
784;Thons roses;1;Produits de la mer
785;Weichkäse;1;
786;Wild smoked salmons;1;Produits de la mer
787;Pains-au-lait-au-levain;1;Pains et céréales
788;Mimolettes;1;Produits laitiers
789;Miels crémeux;1;Miels
790;Chocolats noirs à la fleur de sel;1;Chocolats
791; meats;1;Viandes et charcuteries
792;Seitan;1;
793;Assaisonnements;1;Condiments
794;goûter;1;
795;Miels d'agrumes;1;Miels
796;Lentilles blondes;1;Légumineuses
797;Champagne français;1;Boissons alcoolisées
798;Matières grasses animales;1;
799;Extra-virgin olive oils;1;
800; fr:Biscuits-fourres;1;Biscuits et gateaux
801; hams;1;Viandes et charcuteries
802;Truffes en conserve;1;Conserves
803; liqueurs;1;Boissons alcoolisées
804;Pâte pour lasagne au épinard;1;Pâtes alimentaires
805;Frozen foods;1;Surgelés
806;Chips and fries;1;Pommes de terre
807;Snacks;1;
808;Biscuits aux amandes;1;Biscuits et gateaux
809;Glaces au chocolat;1;
810; Pickles;1;
811; Pickled capers;1;
812;Fromages blancs natures;1;Produits laitiers
813; Plant-based pickles;1;
814;Flocons de céréales;1;Pains et céréales
815; fr:Oeufs de truite;1;Produits de la mer
816;Snackfoods;1;
817;Fromages à pâte molle;1;Produits laitiers
818;Boissons aux légumes;1;Aliments et boissons à base de végétaux
819;Brioches au chocolat;1;Pains et céréales
820;Desserts lactés au chocolat;1;Produits laitiers
821;Céréales;1;Pains et céréales
822;Milchprodukte;1;Produits laitiers
823;Dinkelmehle Type 1050;1;Pains et céréales
824;Babykekse;1;Nourriture pour bébé
825; olive-tree-products;1;
826; beef;1;Viandes et charcuteries
827; canned-foods;1;Conserves
828;Fruits à coques;1;Fruits à coque
829;Boissons végétales de soja à la vanille;1;Aliments et boissons à base de végétaux
830;Gezuckerte Getränke;1;Boissons
