,manufacturing_places
183,Sassello
184,FROMAGERIES PERREAULT LE FRESNE 53170 MESLAY DU MAINE France
185,Tunisia
186,Varberg
187,S.p.A. E. Galbani
188,GIUSEPPE CITTERIO SALUMIFICIO SPA VIA TICINO 105 SANTO STEFANO TICINO - MI Italy
189,SAVEuropean UnionR D AUGE PARC D'ACTIVITES LAUNAY ART ANC RTE DE LISIEuropean UnionX 14130 PONT L'EVEQEuropean Union France
190,Manche
191,Bergame
192,Fleury Michon Traiteur - FMT (Filiale Fleury Michon Solution Repas) - Parc d'Activité Polaris - 85110 Chantonnay
193,Molkereistrasse 5
194,France Route de Castenaudary 31250 Castelnaudary
195,G. POZZOLI 1875 SRL VIA AL PIANO 30 GORDONA - SO Italy
196,William Saurin (WS) - 26 Rue de Crécy - D35 - 02270 Pouilly-sur-Serre
197,14670
198, chateaudun
199,Capua
200,Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac
201,Banffshire
202,Valladolid (provincia)
203,10600
204,Monts & terroirs
205,2610 Casale Cremasco-Vidolasco
206,BRETAGNE
207,Atmando De Angelis S.r.l. Via Olanda 2 37069 Villafranca (VR)  Italy
208,Fromarsac (Filiale Savencia Fromage & Dairy) - 86 Rue du 8 Mai - La Prunerie - 24430 Marsac-sur-l'Isle
209,Troarn
210,Caceres
211,Nemours
212,22761 HAMBOURG
213,Seychelles
214,UB6 0AZ
215,Poitou-Charentes
216,Belgique
217,Unión Europea
218,European Seafood Investments Portugal - ESIP (Filiale MWBrands) - Avenida Monsenhor Manuel Bastos Rodrigues De Sousa - 2520-206 Peniche
219,Quimper
220,Ile de France
221,Seoul
222,Antartic II
223,Antartic II (Filiale du Groupement Les Mousquetaires) - Lieu dit Champ Trentenier - ZA - 07800 Charmes-sur-Rhône
224,Oise
225, Greece
226,Selby. U-K
227,51150
228,Union des Coopératives Agricoles Lorco - 16 Rue Camille Claudel - Bellerive - 56620 Pont-Scorff
229,Tata Global Beverages GB Limited
230,Normandie
231,Poland
232,Viriat
233,28200 Marboué
234,Clécy
235,(BG : Bergame)
236,Costa Ligure Sancon Snc Di Viale D. & Pavone F. Indirizzo: Reg. Prati Pescine
237,Ile-de-France
238,Danone Produits Frais France - DPFF (Filiale Danone) - La Sablonnière - 14330 Le Molay-Littry
239,Fattorie Garofalo Soc. Coop. Agricola
240,Egypt
241,México
242,LAMPAULAISE DES SALAISONS
243,Bressor (Filiale Savencia Fromage & Dairy) - Le Village - 01960 Servas
244,Loir-et Cher
245,South Africa
246,(CR : Crémone)
247,29403 LANDIVISIAU
248,LDC Sablé (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZI Saint Laurent - 72300 Sablé-sur-Sarthe
249,Epernay
250,Parmareggio S.p.A.
251,Osellsa
252,Bongrain-Gérard - BG (Filiale Savencia Fromage & Dairy) - Grande Rue - 52150 Illoud
253,Balakanakis Bros SA Olympic Fruit Argoliko-Nafplio-GR21100 Nafplio
254,Marie (Filiale L.D.C.)
255,S.p.A. Egidio Galbani (Filiale Groupe Lactalis) - Via Roma 1/3
256,Ets Louis Tessier - SELT (Filiale Savencia Fromage & Dairy) - 10 Route des Grands Champs - Lieu dit La Maladrerie - 49140 Cornillé-les-Caves
257,IV47 8SR
258,OU
259,CH 4402 Frenkendorf
260,sesto san giovanni
261,Plasencia
262,31250 RevelFrance
